"city1";"city2";"avg_fare";"total_passengers";"number_of_trips"
"Buffalo, NY";"Tampa, FL (Metropolitan Area)";150.719744;52003.0;117
"Bozeman, MT";"Dallas/Fort Worth, TX";225.63125;619.0;8
"Bozeman, MT";"Washington, DC (Metropolitan Area)";322.4525;727.0;12
"Bozeman, MT";"Chicago, IL";265.597273;1138.0;11
"Bozeman, MT";"New York City, NY (Metropolitan Area)";365.010625;3803.0;64
"Bozeman, MT";"San Francisco, CA (Metropolitan Area)";229.813922;3569.0;51
"Bozeman, MT";"Los Angeles, CA (Metropolitan Area)";229.299091;5822.0;110
"Washington, DC (Metropolitan Area)";"West Palm Beach/Palm Beach, FL";166.594959;104591.0;367
"Chicago, IL";"Colorado Springs, CO";183.457912;10643.0;91
"Chicago, IL";"Dallas/Fort Worth, TX";198.370456;355183.0;461
"Chicago, IL";"Pittsburgh, PA";158.557251;107250.0;251
"Chicago, IL";"Denver, CO";165.204922;325229.0;256
"Chicago, IL";"Tucson, AZ";218.610122;42990.0;246
"Chicago, IL";"Phoenix, AZ";187.247019;352186.0;265
"Chicago, IL";"Hartford, CT";213.204819;86592.0;249
"Chicago, IL";"Seattle, WA";223.086367;182030.0;267
"Chicago, IL";"El Paso, TX";219.281387;26897.0;238
"Chicago, IL";"Cleveland, OH (Metropolitan Area)";154.041983;162800.0;464
"Chicago, IL";"Nashville, TN";137.331339;133790.0;254
"Chicago, IL";"Washington, DC (Metropolitan Area)";169.203342;548518.0;775
"Chicago, IL";"Columbus, OH";133.351142;122773.0;254
"Chicago, IL";"St. Louis, MO";130.874824;165981.0;255
"Chicago, IL";"Myrtle Beach, SC";137.501783;16366.0;129
"Chicago, IL";"Jacksonville, FL";190.457218;58790.0;248
"Chicago, IL";"Detroit, MI";126.919101;199308.0;267
"Chicago, IL";"Houston, TX";199.557187;248172.0;551
"Chicago, IL";"Orlando, FL";153.866473;388375.0;258
"Chicago, IL";"Valparaiso, FL";141.8825;393.0;4
"Chicago, IL";"Fresno, CA";233.27;451.0;4
"Chicago, IL";"Minneapolis/St. Paul, MN";156.97879;310793.0;248
"Chicago, IL";"New York City, NY (Metropolitan Area)";200.841984;1019094.0;1472
"Chicago, IL";"Fort Myers, FL";166.121714;171419.0;245
"Chicago, IL";"Greenville/Spartanburg, SC";205.30036;15344.0;139
"Chicago, IL";"Spokane, WA";238.6995;1587.0;20
"Chicago, IL";"Las Vegas, NV";176.009112;380209.0;259
"Chicago, IL";"San Francisco, CA (Metropolitan Area)";234.956884;431591.0;751
"Chicago, IL";"Miami, FL (Metropolitan Area)";174.29988;404597.0;500
"Chicago, IL";"Los Angeles, CA (Metropolitan Area)";228.334591;628643.0;1222
"Chicago, IL";"Louisville, KY";136.328724;55147.0;243
"Chicago, IL";"Cincinnati, OH";224.658724;58292.0;243
"Chicago, IL";"Sacramento, CA";251.001306;52208.0;245
"Chicago, IL";"Tampa, FL (Metropolitan Area)";156.031257;240763.0;342
"Chicago, IL";"Kansas City, MO";135.139243;178129.0;251
"Chicago, IL";"San Antonio, TX";200.869595;78035.0;247
"Chicago, IL";"Memphis, TN";197.793105;48348.0;248
"Chicago, IL";"Omaha, NE";143.483293;77100.0;246
